,solar,P_solar_max,P_solar_min,P_load,load_min,load_max,SOC_min,SOC_max,P_batt_max,P_batt_min,battery_eta,import_price,export_price,raise_price,lower_price,nu,P_solar,P_meter,P_batt,SOC,Online,import_DOE,export_DOE,import_IOE,export_IOE,settled_revenue,aggregator,R_bid,L_bid
19,0.0,0,-10,0.8043066558813332,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00165,0.01534,0.1,0.0,0.8043066558813332,0.0,3.311,1,32.99999846506716,-14.999999455436356,33.0,-15.0,-0.002974666531849997,1,5.0,5.0
20,0.0,0,-10,0.7911011553289998,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00164,0.01509,0.1,0.0,0.7911011553289998,0.0,3.311,1,32.99999898708316,-15.0,33.0,-15.0,-0.0029179311082791638,1,5.0,5.0
21,0.0,0,-10,0.800516656544333,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00079,0.01534,0.1,0.0,0.800516656544333,0.0,3.311,1,32.99999841735597,-15.0,33.0,-15.0,-0.0032856248734708295,1,5.0,5.0
22,0.0,0,-10,0.6845454964359998,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00339,0.01534,0.1,0.0,0.6845454964359998,0.0,3.311,1,32.99999881652672,-15.0,33.0,-15.0,-0.0007526520387833328,1,5.0,5.0
23,0.0,0,-10,0.7306049162012204,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00227,0.01801,0.1,0.0,0.7306049162012204,0.0,3.311,1,32.99999841589199,-14.999999957178254,33.0,-15.0,-0.0006825614525152544,1,5.0,5.0
24,0.0,0,-10,0.7562116411715738,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00212,0.01634,0.1,0.0,0.7562116411715738,0.0,3.311,1,32.9999990190354,-15.0,33.0,-15.0,-0.0017609788479780054,1,5.0,5.0
25,0.0,0,-10,0.6913852581919661,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00178,0.02331,0.1,0.0,0.6913852581919661,0.0,3.311,0,33.0,-15.0,33.0,-15.0,0.0018118509392670932,1,5.0,5.0
26,0.0,0,-10,0.7718032811195079,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00254,0.01981043,0.1,0.0,0.7718032811195079,0.0,3.311,1,32.999998865388356,-15.0,33.0,-15.0,-0.0003348618473271812,1,5.0,5.0
27,0.0,0,-10,0.7743616896598641,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00302,0.01907,0.1,0.0,0.7743616896598641,0.0,3.311,1,32.999998485949384,-14.999999580774574,33.0,-15.0,-0.00047535445408163415,1,5.0,5.0
28,0.0,0,-10,0.8025579897739998,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00165,0.01594,0.1,0.0,0.8025579897739998,0.0,3.311,1,32.99999901911155,-14.999999465932945,33.0,-15.0,-0.00270280820550833,1,5.0,5.0
29,0.0,0,-10,0.7081833235526664,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00105,0.03504,0.1,0.0,0.7081833235526664,0.0,3.311,1,32.99999848468305,-15.0,33.0,-15.0,0.006185208455591673,1,5.0,5.0
30,0.0,0,-10,0.7155499939599999,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00064,0.06587,0.1,0.0,0.0,-0.7155499939599999,3.2447453709296297,1,32.99999841870407,-15.0,33.0,-15.0,0.03160211050883423,1,4.28445000604,5.71554999396
31,0.0,0,-10,0.831032783982721,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00069,0.03652,0.1,0.0,0.831032783982721,0.0,3.2447453709296297,1,32.99999846363257,-15.0,33.0,-15.0,0.005116256866882654,1,5.0,5.0
32,0.0,0,-10,1.273188989676814,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,6e-05,0.04428882,0.1,0.0,0.0,-1.273188989676814,3.1268575015151097,0,33.0,-15.0,33.0,-15.0,0.02317131222086647,1,3.726811010323186,6.2731889896768145
33,0.0,0,-10,0.746210173549333,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.0004,0.05349541,0.1,0.0,0.0,-0.746210173549333,3.0577639669272085,1,32.99999849036233,-14.999999431177063,33.0,-15.0,0.02575811542589775,1,4.253789826450667,5.746210173549333
34,0.0,0,-10,0.7048628313276664,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00044,0.07036606,0.1,0.0,0.0,-0.7048628313276664,2.9924988899524245,0,33.0,-15.0,33.0,-15.0,0.03360988171959902,1,4.295137168672333,5.704862831327667
35,0.0,0,-10,0.7083161634633331,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00144,0.03029,0.1,0.0,0.7083161634633331,0.0,2.9924988899524245,1,32.99999841961701,-15.0,33.0,-15.0,0.004366881290041671,1,5.0,5.0
36,0.0,0,-10,0.8991851659679999,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.0014,0.05111061,0.1,0.0,0.0,-0.8991851659679999,2.9092410042146466,1,32.999998475891374,-15.0,33.0,-15.0,0.02560434109193504,1,4.1008148340320005,5.8991851659679995
37,0.0,0,-10,1.0466296641876665,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00128,0.0444131,0.1,0.0,0.0,-1.0466296641876665,2.812330850123196,1,32.999998413424954,-14.999999942847507,33.0,-15.0,0.022800823497364415,1,3.9533703358123335,6.046629664187666
38,0.0,0,-10,0.9098194973216668,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00227,0.05311892,0.1,0.0,0.0,-0.9098194973216668,2.7280883040748938,1,32.99999845663012,-14.999999957529637,33.0,-15.0,0.02693399490281247,1,4.090180502678333,5.909819497321667
39,0.0,0,-10,0.8882808344996668,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00251,0.03504,0.1,0.0,0.8882808344996668,0.0,2.7280883040748938,1,32.99999844927306,-14.999999460308082,33.0,-15.0,0.004542322902087502,1,5.0,5.0
40,0.0,0,-10,0.9179873368896668,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00169,0.03395545,0.1,0.0,0.9179873368896668,0.0,2.7280883040748938,1,32.99999882024324,-15.0,33.0,-15.0,0.0033774291222124983,1,5.0,5.0
41,0.0,0,-10,1.0597618352793334,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00169,0.07412751,0.1,0.0,0.0,-1.0597618352793334,2.629962208215696,1,32.999998950875124,-15.0,33.0,-15.0,0.03798783821172208,1,3.9402381647206663,6.059761835279334
42,0.0,0,-10,0.962330009274034,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00178,0.06034,0.1,0.0,0.0,-0.962330009274034,2.5408575777273597,1,32.999998419608275,-15.0,33.0,-15.0,0.030579503778590617,1,4.037669990725966,5.962330009274034
43,0.0,0,-10,0.9045744957256666,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00169,0.07363,0.1,0.0,0.0,-0.9045744957256666,2.457100679974983,1,32.99999846232523,-14.999999943997413,33.0,-15.0,0.036806257435208704,1,4.095425504274333,5.904574495725667
44,0.0,0,-10,0.7142102101310001,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00227,0.06111198,0.1,0.0,0.0,-0.7142102101310001,2.3909701049628533,1,32.999998517692795,-14.999999945419981,33.0,-15.0,0.029911286908360344,1,4.285789789869,5.714210210131
45,0.0,0,-10,0.997213654735666,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00128,0.10502993,0.1,0.0,0.0,-0.997213654735666,2.2986355073021434,0,33.0,-15.0,33.0,-15.0,0.05291754140615579,1,4.002786345264334,5.997213654735666
